month,day,year,date,prop_letter,ballot_subject,type_of_measure,description,pass_or_fail,vote_counts,percent_vote,percent_required_to_pass,measure_placed_on_ballot_by,pdf_available
November,4,1924,04-Nov-24,40,Salaries of Select Officers and Members of Fire Department,Charter Amendment,"The following officers and members of the Fire Department shall receive the following annual salaries: Chief Engineer, $7200; First Assistant Chief Engineer, $4800; Second Assistant Chief Engineer, $4800; Battalion Chiefs, each, $4200; Captains, each, $2820; Lieutenants, each, $2670; Engineers, each, $2640; Chief's Operators, each, $2520; Drivers, Stokers, Tillermen, Trucksmen and Horsemen for the first year of service, each, $2160; for the second year of service, each, $2280, and for the third year of service and thereafter, each, $2400; Pilots of Fire Boats, each, $3060; Marine Engineers of Fire Boats, each, $3060; Firemen of Fire Boats, each, $2460.",P,"Yes: 83,867  /  No: 59,353",Yes: 58.5%  /  No: 41.5%,50%+1,Supervisors,November4_1924
November,4,1924,04-Nov-24,41,Salaries of Select Officers and Members of Police Department,Charter Amendment,"Subordinate officers of the Police Department shall consist of Captains, who shall receive an annual salary of $3600; Lieutenants, $3000; Sergeants, $2640; Corporals, $2580; Captain of Police, $5000; Detective Sergeants, $2760; Captain of Police (over officers detailed for traffic duty), $4000; Police Officers, $2400 each; Police Patrol Drivers, $2400 each; Police Surgeon, $2400; Chief of Police, $7200; Chief Clerk and Property Clerk, $3600 each; Photographer, $2700.",P,"Yes: 72,805  /  No: 69,791",Yes: 51.0%  /  No: 49.0%,50%+1,Supervisors,November4_1924
November,4,1924,04-Nov-24,42,Financial Support of Public Playgrounds,Charter Amendment,"The Board of Supervisors shall, for the purchase, development, equipment and maintenance of playground and recreation centers, annually appropriate to the Playground Commissioners not less than five cents nor more than seven cents upon each one hundred dollars assessed valuation upon all property in the City and County of San Francisco not exempt from taxation.  Appropriated funds shall be credited to the Playground Fund of the General Fund.",P,"Yes: 81,148  /  No: 42,679",Yes: 65.5%  /  No: 34.5%,50%+1,Supervisors,November4_1924
November,4,1924,04-Nov-24,43,"Repealing Ordinances, Removal of City Cemeteries",Ordinance,"Repealing ordinances that order the disinterment and removal of all human bodies in four city cemeteries: Masonic Cemetery, Odd Fellows Cemetery, Laurel Hill Cemetery, and Cavalry Cemetery.",P,"Yes: 71,085  /  No: 63,966",Yes: 52.6%  /  No: 47.4%,50%+1,Mayor,November4_1924
November,3,1925,03-Nov-25,1,Removal of Laurel Hill Cemetery,Ordinance,To permit the Board of Supervisors to  provide for the disinterment and removal of all human bodies interred in the Laurel Hill Cemetery as stipulated by an Act of the State Legislature.,F,"Yes: 49,977  /  No: 56,571",Yes: 46.9%  /  No: 53.1%,50%+1,Supervisors,November3_1925
November,3,1925,03-Nov-25,2,Removal of Masonic Cemetery,Ordinance,To permit the Board of Supervisors to  provide for the disinterment and removal of all human bodies interred in the Masonic Cemetery as stipulated by an Act of the State Legislature.,F,"Yes: 49,925  /  No: 55,403",Yes: 47.3%  /  No: 52.7%,50%+1,Supervisors,November3_1925
November,3,1925,03-Nov-25,3,Removal of Odd Fellows Cemetery,Ordinance,To permit the Board of Supervisors to provide for the disinterment and removal of all human bodies interred in the Odd Fellows Cemetery as stipulated by an Act of the State Legislature.,F,"Yes: 49,416  /  No: 55,376",Yes: 47.1%  /  No: 52.9%,50%+1,Supervisors,November3_1925
November,3,1925,03-Nov-25,4,Purchase of Market Street Railway System,Ordinance,"To authorize the City to purchase the street railways, street railway system, all properties, equipment and franchises operated or controlled by the Market Street Railway situated within the City of San Francisco and the County of San Mateo.",F,"Yes: 12,435  /  No: 87,315",Yes: 12.4%  /  No: 87.6%,50%+1,Supervisors,November3_1925
November,2,1926,02-Nov-26,29,Water Bonds,Charter Amendment,"No indebtedness shall be incurred for the acquisition of any public utilities under the provisions of this Article, which, together with the existing bonded indebtedness of the City and County, shall exceed at any time 12% of the assessed value of all real and personal property in the City and County subject to taxation for City and County purposes.",P,"Yes: 52,000  /  No: 40,489",Yes: 56.2%  /  No: 43.8%,50%+1,Supervisors,November2_1926
November,2,1926,02-Nov-26,30,Air Port,Charter Amendment,"The City and County of San Francisco may purchase, hold or lease property within or outside of the boundaries of the City and County suitable and convenient for an air port, terminal or landing place for air craft, provide for the equipment and maintenance of the same and may cooperate with other governmental agencies in the acquisition, management or control thereof.",P,"Yes: 81,552  /  No: 16,592",Yes: 83.0%  /  No: 17.0%,50%+1,Supervisors,November2_1926
November,2,1926,02-Nov-26,31,Semi-Monthly Payment of Salaries,Charter Amendment,"Salaries and compensation of all officers, including policemen, firemen and employees of all classes, and all teachers in the public schools and others employed at fixed wages, shall be payable semi-monthly.",P,"Yes: 70,233  /  No: 30,623",Yes: 69.6%  /  No: 30.4%,50%+1,Supervisors,November2_1926
November,2,1926,02-Nov-26,32,Salaries of Mayor and Board of Supervisors,Charter Amendment,"The Mayor shall receive an annual salary of $12,000.  Each member of the Board of Supervisors shall receive a salary equal to one-third of that of the Mayor.",F,"Yes: 47,629  /  No: 58,208",Yes: 45.0%  /  No: 55.0%,50%+1,Supervisors,November2_1926
November,2,1926,02-Nov-26,33,Palace of Fine Arts Site,Charter Amendment,"The City and County of San Francisco may accept and receive from the Secretary of War, pursuant to the provisions of an act of Congress of March 4, 1925, a portion of the Presidio Reservation occupied by the Palace of Fine Arts, in consideration of the right to construct and maintain a spur track over certain public streets.",P,"Yes: 76,017  /  No: 20,639",Yes: 78.6%  /  No: 21.4%,50%+1,Supervisors,November2_1926
November,2,1926,02-Nov-26,34,Retirement Allowance to Certain Teachers,Charter Amendment,"All teachers retired from service under the law of 1913, who are not now drawing a pension, shall be entitled to receive retirement allowance.",P,"Yes: 73,485  /  No: 28,948",Yes: 71.7%  /  No: 28.3%,50%+1,Supervisors,November2_1926
November,2,1926,02-Nov-26,35,School Department; Civil Service; Teachers; School Tax,Charter Amendment,"Provides for the Civil Service appointment of teachers, for making estimate of expenses, for a tax for the schools, for regulations for the disbursement of money.",F,"Yes: 32,518  /  No: 57,281",Yes: 36.2%  /  No: 63.8%,50%+1,Supervisors,November2_1926
November,2,1926,02-Nov-26,36,"Civil Service, Playground Commission Employees",Charter Amendment,Makes employees of the Playground Commission subject to Civil Service provisions and those employed one year are appointed thereunder,F,"Yes: 32,459  /  No: 68,294",Yes: 32.2%  /  No: 67.8%,50%+1,Supervisors,November2_1926
November,2,1926,02-Nov-26,37,Appointment and Removal of Commissioners from Office,Charter Amendment,"Provides for the ratification by Board of Supervisors of Mayor's appointments to Commissions, and for their removal for cause by said Board.",F,"Yes: 21,427  /  No: 74,812",Yes: 22.2%  /  No: 77.8%,50%+1,Supervisors,November2_1926
November,2,1926,02-Nov-26,38,Wage-Fixing Power,Charter Amendment,"Vests in the Supervisors power to fix compensation of all city employees, pending the adoption of report on standardization of salary.",F,"Yes: 22,379  /  No: 72,808",Yes: 23.5%  /  No: 76.5%,50%+1,Supervisors,November2_1926
November,2,1926,02-Nov-26,39,Hospital System for Municipal Public Utilities Employees,Charter Amendment,"Authorizes the Supervisors to provide a hospital system for municipal public utility employees, cost to be divided between employees and City.",F,"Yes: 28,451  /  No: 67,731",Yes: 29.5%  /  No: 70.5%,50%+1,Supervisors,November2_1926
June,14,1927,14-Jun-27,1,"Bernal Cut Bonds, $1,400,000",Bond Issue,"To incur a bonded debt of the City and County of San Francisco to the amount of $1,400,000 for the purpose of the acquisition, construction and completion of a permanent improvement: A cut, or excavation with approach fills, providing an improved route for public highway purposes in the City and County known as the Bernal Cut.",P,"Yes: 52,623  /  No: 17,952",Yes: 74.5%  /  No: 25.5%,66 2/3%,Supervisors,June14_1927
June,14,1927,14-Jun-27,2,"War Memorial Halls Bond, $4,000,000",Bond Issue,"To incur a bonded debt of the City and County of San Francisco to the amount of $4,000,000 for the purpose of the construction, completion and equipment of permanent buildings in or adjacent to the Civic Center in the City and County of San Francisco, to be used as a memorial hall for war veterans and for educational, recreational, entertainment and other municipal purposes and the purchase of all equipment and furnishings necessary for said buildings.",P,"Yes: 48,977  /  No: 20,902",Yes: 70.0%  /  No: 30.0%,66 2/3%,Supervisors,June14_1927
June,14,1927,14-Jun-27,3,"Municipal Street Railway Extension Bond, $4,700,000",Bond Issue,"To incur a bonded debt of the City and County of San Francisco to the amount of $4,700,000 for the purpose of the acquisition, construction and completion of a public utility: the extension of the Municipal Street Railway or a system of street railways.",F,"Yes: 44,412  /  No: 25,791",Yes: 63.2%  /  No: 36.8%,66 2/3%,Supervisors,June14_1927
June,14,1927,14-Jun-27,4,"Spring Valley Water Company Purchase Bond, $40,000,000",Bond Issue,"To incur a bonded debt of the City and County of San Francisco to the amount of $40,000,000 for the purpose of the acquisition, construction and completion of a public utility, by purchasing the property, necessary water rights, storage reservoirs, and distributing system of the Spring Valley Water Company for supplying water to the City and County of San Francisco and its inhabitants.",F,"Yes: 41,463  /  No: 28,611",Yes: 59.1%  /  No: 40.9%,66 2/3%,Supervisors,June14_1927
June,14,1927,14-Jun-27,5,Collection and Disposition of Refuse,Ordinance,"Providing for the collection and disposal of refuse in the City and County of San Francisco; providing for the licensing of refuse collectors by the Board of Health; fixing the maximum rates or charges for the collection of refuse by licensed refuse collectors from homes and apartment houses, and dividing the City and County of San Francisco into collection routes; providing penalties for the violation of the provisions of said ordinance.",P,"Yes: 37,189  /  No: 33,010",Yes: 52.9%  /  No: 47.1%,50%+1,Initiative,June14_1927
November,8,1927,08-Nov-27,1,"Boulevard Bonds, $9,380,000",Bond Issue,"To incur a bonded debt of the City and County of San Francisco to the amount of $9,380,000 for the purpose of the acquisition, construction and completion of, and improvements in, the following routes for public highway purposes: the Bayshore Highway, the Alemany boulevard, the Junipero Serra boulevard, the Nineteenth Avenue boulevard, the Sunset boulevard, the Esplanade boulevard, the Great Highway and Van Ness boulevard.",P,"Yes: 92,867  /  No: 25,638",Yes: 78.3%  /  No: 21.7%,66 2/3%,Supervisors,November8_1927
November,8,1927,08-Nov-27,2,"Municipal (MUNI) Railway Extension Bonds, $4,600,000",Bond Issue,"To incur a bonded debt of $4,600,000 for extending the existing Municipal (MUNI) Street Railway system over and along the public streets and private rights of way.",F,"Yes: 68,484  /  No: 49,965",Yes: 57.8%  /  No: 42.2%,66 2/3%,Supervisors,November8_1927
November,8,1927,08-Nov-27,3,"Transmission Line Bonds, $2,000,000",Bond Issue,"To incur a bonded debt of $2,000,000 for the extension of the Moccasin Creek power line of the Hetch Hetchy water and power project of the City and County of San Francisco from its present terminal near Newark, Alameda County, California, over, under, across or around the Bay of San Francisco, for the purpose of transmitting electric energy generated at Moccasin Creek power plant into the City and County of San Francisco.",F,"Yes: 57,607  /  No: 55,940",Yes: 50.7%  /  No: 49.3%,66 2/3%,Supervisors,November8_1927
November,8,1927,08-Nov-27,4,Public Ownership of Transbay Bridge,Policy Declaration,"Any transbay bridge from the City to the County of Alameda shall be financed, constructed, maintained and operated under public ownership and that the Board of Supervisors shall take such steps as may be necessary for such construction and ownership.",P,"Yes: 50,264  /  No: 47,736",Yes: 51.2%  /  No: 48.8%,50%+1,Supervisors,November8_1927
November,8,1927,08-Nov-27,5,Construction of Bridge by Private Capital,Policy Declaration,A proposal for immediate construction by private capital of a publicly owned bridge from San Francisco to Alameda.,F,"Yes: 41,470  /  No: 52,031",Yes: 44.3%  /  No: 55.7%,50%+1,Supervisors,November8_1927
November,8,1927,08-Nov-27,6,Transfer of Certain Lands to United States Government,Policy Declaration,"The City and County of San Francisco should transfer, without monetary consideration, to the Government of the United States, a site on the northeast corner of Hyde and Fulton Streets in the Civic Center, to be used by the Government of the United States for the erection of a Federal Building.",P,"Yes: 83,697  /  No: 23,465",Yes: 78.1%  /  No: 21.9%,50%+1,Supervisors,November8_1927
November,8,1927,08-Nov-27,7,"Assistant City Engineers, Board of Public Works",Ordinance,Three assistants to the City Engineer shall be employed by the Board of Public Works to examine and analyze all franchises under which privately owned street railways are operated in the City and County of San Francisco.,F,"Yes: 37,439  /  No: 58,140",Yes: 39.1%  /  No: 60.9%,50%+1,Mayor,November8_1927
May,1,1928,01-May-28,1,"Hetch Hetchy Completion Bonds, $24,000,000",Bond Issue,"To incur a bonded debt of $24,000,000 for the purpose of constructing aqueduct tunnels, pipelines and other structures and appurtenances, including lands necessary for the completion of the Lake Eleanor Tuolumne system, also known as the Hetch Hetchy project, for the conveying of water from the Tuolumne river and its tributaries, to the City and County of San Francisco for domestic and municipal purposes.",P,"Yes: 94,859  /  No: 11,381",Yes: 89.2%  /  No: 10.8%,66 2/3%,Supervisors,May1_1928
May,1,1928,01-May-28,2,"Spring Valley Water Company Purchase Bonds, $41,000,000",Bond Issue,"To incur a bonded debt of $41,000,000 for purchasing all of the property, water rights, rights of way, storage reservoirs, water works, water supply, pumping plants, lands within and without the confines of the City and County of San Francisco that shall be deemed necessary, and distributing system of the Spring Valley Water Company, to be owned and controlled by the City and County of San Francisco.",P,"Yes: 82,490  /  No: 21,175",Yes: 79.5%  /  No: 20.5%,66 2/3%,Supervisors,May1_1928
August,28,1928,28-Aug-28,1,Withdrawn after publication (Municipally Owned Public Utilities),Charter Amendment,"The construction, management, supervision, maintenance, extension, operation and control of all public utilities and other properties, used, owned, acquired, leased or constructed by the City and County of San Francisco, for the purpose of supplying to the City and County, its residents and inhabitants, and to territory outside the City and County, as well as its residents and inhabitants, with water, light, heat, power or transportation shall be exclusively vested in a Utility Commission of three members.",Not Available in Public Library's official records,,,,Supervisors,August28_1928
November,6,1928,06-Nov-28,22,Establishment of Public Utilities Commission,Charter Amendment,"Creating and defining the powers and duties of a Public Utilities Commission for the management of municipal water, transportation, power and other utilities.",F,"Yes: 51,063  /  No: 79,490",Yes: 39.1%  /  No: 60.9%,50%+1,Supervisors,November6_1928
November,6,1928,06-Nov-28,23,Issuance of Revenue Bonds,Charter Amendment,"Providing for the acquisition, construction or extension of public utilities and the issuance of bonds therefor payable both as to principal and interest wholly from revenue.",F,"Yes: 26,076  /  No: 103,495",Yes: 20.1%  /  No: 79.9%,50%+1,Supervisors,November6_1928
November,6,1928,06-Nov-28,24,Street Railway Franchises,Charter Amendment,Proposal permitting surrender of privately owned street car franchises for operating permit that may be cancelled by vote of people.,F,"Yes: 76,156  /  No: 100,526",Yes: 43.1%  /  No: 56.9%,50%+1,Initiative,November6_1928
November,6,1928,06-Nov-28,25,Police Pensions,Charter Amendment,"The Board of Police Commissioners shall, out of the Police Relief and Pension fund, provide for the family of any officer or member who dies in the line of duty.   Should the decedent be married, his widow shall be paid a monthly pension equal to one-half of the decedent's salary, as long as she remains unmarried; should the widow die leaving a child or children under the age of sixteen, the pension will be paid to the child or children until the youngest reaches the age of sixteen.  Should the decedent leave no widow and no orphan child or children but leaves a parent or parents depending upon him for support, the pension will be paid to the parent or parents.",F,"Yes: 73,059  /  No: 83,368",Yes: 46.7%  /  No: 53.3%,50%+1,Supervisors,November6_1928
November,6,1928,06-Nov-28,26,Firemen's Pensions,Charter Amendment,"Whenever any officer or member of the Fire Department shall die as a result of any injury received during the performance of his duty, or while eligible to a pension, the Commissioners shall provide for the family.  If the decedent be married, his widow shall be paid a monthly pension equal to one-half of the decedent's salary, as long as she remains unmarried; if the widow should die, the pension shall continue to any child or children until the youngest child reaches sixteen.  Should the decedent leave no widow and no orphan child, but leave a parent or parents dependent upon him for support, such parents will receive the pension.",P,"Yes: 73,427  /  No: 72,956",Yes: 50.1%  /  No: 49.9%,50%+1,Supervisors,November6_1928
November,6,1928,06-Nov-28,27,"Board of Supervisors, Number, Term of Office, Salary",Charter Amendment,"The Board of Supervisors shall consist of eighteen members, all of whom shall hold office for four years and be elected from the City and County at large.  Each one must be at the time of his election an elector of the City and County and must have been such for at least five years next preceding his election.  Each Supervisor shall receive a monthly salary of $400.",F,"Yes: 24,795  /  No: 117,762",Yes: 17.3%  /  No: 82.7%,50%+1,Supervisors,November6_1928
November,6,1928,06-Nov-28,28,Civil Service Extension,Charter Amendment,"The appointing officer shall notify the Commissioners of each position to be filled separately, and shall fill such place by the appointment of one of the persons certified to him by the Commissioners.  Such appointment shall be on probation for a period to be fixed by the rules of the Commissioners.  At or before the expiration of the period of probation, the head of the department or office in which a candidate is employed may, with the Commissioners' consent, discharge him upon assigning in writing his reason to the Commissioners.  To prevent the stoppage of public business, the head of any department may make emergency appointments.",F,"Yes: 70,044  /  No: 73,760",Yes: 48.7%  /  No: 51.3%,50%+1,Supervisors,November6_1928
November,6,1928,06-Nov-28,29,Detective Sergeants,Charter Amendment,"The Chief of Police may detail for detective duty members of the Police Department as hey may select, not to exceed one for each eighteen members of the Police Department.  Such members shall rank as detective sergeants and receive an annual salary of $2,760.  They shall be given a hearing before the Board of Police Commissioners before removal from the detail by the Chief of Police.",P,"Yes: 74,371  /  No: 59,811",Yes: 55.2%  /  No: 44.8%,50%+1,Supervisors,November6_1928
November,6,1928,06-Nov-28,30,Police Department Organization and Pensions,Charter Amendment,"When any member of the department shall die from causes other than a bodily injury received in the performance of his duty, and neither his widow nor his children nor his parent shall be entitled to a pension, then his widow, and if there be no widow, then his children, or if there be no widow or children, then his parent, if dependent upon him for support, shall be entitled to a sum equal to the amount retained by the Treasurer from the pay of the deceased and paid into the Relief and Pension Fund.",F,"Yes: 50,440  /  No: 81,031",Yes: 38.3%  /  No: 61.7%,50%+1,Supervisors,November6_1928
November,6,1928,06-Nov-28,31,Establishing the City Planning Commission,Charter Amendment,"The creation of a City Planning Commission, to consist of five members, who shall be appointed by the Mayor.  Each member of the Commission shall have been an elector of the City and County for at least five years prior to the date of his appointment and shall not hold any other City and County office or position during his term of office as Commissioner.  The terms of members of the Commission shall be five years from and after the date of their respective appointments.",F,"Yes: 65,168  /  No: 61,985",Yes: 51.2%  /  No: 48.8%,50%+1,Supervisors,November6_1928
November,6,1928,06-Nov-28,32,War Memorial Board of Trustees,Charter Amendment,"There shall be a Board of Trustees of the San Francisco War Memorial to be erected and maintained in the Francisco War Memorial to be erected and maintained in the Civic Center in the City and County of San Francisco, to be known as the ""Board of Trustees of the War Memorial.""  The Trustees of the War Memorial shall have charge of the construction, administration, management, superintendence and operation of the War Memorial.  The Trustees shall consist of eleven members, to be appointed by the mayor, and each member will hold a term of six years.",P,"Yes: 69,742  /  No: 69,025",Yes: 50.2%  /  No: 49.8%,50%+1,Supervisors,November6_1928
November,6,1928,06-Nov-28,33,Tax for Park Purposes,Charter Amendment,"Providing for the levying of taxes and appropriation of money for the maintenance, preservation and improvement of parks, squares and grounds.  The Supervisors shall provide all necessary money for the maintenance and preservation of said parks, squares, avenues and grounds, and levy a tax on all property in the City and County not exempt from taxation, which shall not be less than 10 cents nor more than 15 cents upon each $100 assessed valuation of said property.",F,"Yes: 64,969  /  No: 72,156",Yes: 47.3%  /  No: 52.7%,50%+1,Supervisors,November6_1928
November,6,1928,06-Nov-28,34,Library Tax,Charter Amendment,"Providing for the levying of taxes for the maintenance of libraries and to defray the cost of books, lands and buildings.  The Supervisors shall, for the purpose of maintaining libraries (purchasing books, journals, periodicals or acquiring real and personal property, and for constructing such buildings as necessary), annually levy a tax on all property in the City and County not exempt from taxation which shall not be less than three and three-quarters cents upon each one hundred dollars assessed valuation of said property.  The proceeds of said tax shall be credited to the Library Fund.",P,"Yes: 69,337  /  No: 60,639",Yes: 53.3%  /  No: 46.7%,50%+1,Supervisors,November6_1928
November,6,1928,06-Nov-28,35,Palace of Fine Arts,Charter Amendment,"Accepting the Palace of Fine Arts from the United States government and ratifying an ordinance granting spur track privileges, extending from Fort Mason Military Reservation over and along certain public streets in the City and County of San Francisco.",P,"Yes: 90,980  /  No: 41,474",Yes: 68.6%  /  No: 31.4%,50%+1,Supervisors,November6_1928
November,6,1928,06-Nov-28,36,Federal Building in Civic Center,Charter Amendment,"Authorizing the Board of Supervisors to transfer to the United States a site in the Civic Center for a Federal Building, to be used and occupied by the United States Government.",P,"Yes: 87,612  /  No: 43,821",Yes: 66.6%  /  No: 33.4%,50%+1,Supervisors,November6_1928
November,6,1928,06-Nov-28,37,Retirement System Simplification,Charter Amendment,"The Board of Supervisors will establish a retirement system to provide for the death benefits for officers and employees of the City and County of San Francisco.  The Board shall secure from the competent actuary a report of the cost of establishing a general retirement system.  The retirement system shall be conducted on the contributory plan.  A Board of Administration of the retirement system is hereby created, consisting of the Chairman of the Finance Committee of the Board of Supervisors, the Auditor, three members elected from the active members of the retirement system, a resident official of a life insurance company, and an officer of a bank.",P,"Yes: 67,422  /  No: 58,480",Yes: 53.5%  /  No: 46.5%,50%+1,Supervisors,November6_1928
November,6,1928,06-Nov-28,38,"Purchaser of Supplies, Revolving Fund",Charter Amendment,Creating a Revolving Fund for the Purchaser of Supplies for the immediate payment of bills and the saving of discounts.,P,"Yes: 75,775  /  No: 46,943",Yes: 61.7%  /  No: 38.3%,50%+1,Supervisors,November6_1928
November,6,1928,06-Nov-28,39,Bonds for Employees,Charter Amendment,"Every board, commission, department or officer may, with the approval of the Finance Committee of the Board of Supervisors, require of their deputies, clerks or employees, bonds of indemnity with sufficient sureties for the faithful performance of their duties; and the premiums or charges for all such bonds shall be paid by the City and County.",F,"Yes: 57,360  /  No: 66,872",Yes: 46.1%  /  No: 53.9%,50%+1,Supervisors,November6_1928
November,6,1928,06-Nov-28,40,"Payment Demands, Common School Fund",Charter Amendment,"Providing for the method of drawing and paying demands against the Common School Fund.  All demands payable out of the Common School Fund shall be filed with the Secretary of the Board of Education, and after they have been approved by the board, they shall be signed by the President of the Board and the Superintendent and sent to the Auditor.  Every demand shall have endorsed upon it a certificate, signed by the Secretary, of its approval by the Board of Education, showing the date thereof and the law authorizing it by title, date and section.",P,"Yes: 73,909  /  No: 48,629",Yes: 60.3%  /  No: 39.7%,50%+1,Supervisors,November6_1928
November,6,1928,06-Nov-28,41,"Fire Department, Lieutenants",Charter Amendment,"Providing for the abolishment of the rank of Lieutenant, Fire Department, and for promotions to rank of Captain.  Also providing for amendments to composition of Fire Department Companies, and to the salaries of its officers and members.",F,"Yes: 58,985  /  No: 73,170",Yes: 44.6%  /  No: 55.4%,50%+1,Supervisors,November6_1928
November,6,1928,06-Nov-28,42,"Police Department, Corporals",Charter Amendment,"Providing for the appointment of Sergeants in the Police Department and abolishing the rank of Corporal.  There shall not be more than one Sergeant for every eight Police Officers, and the duties of the Sergeants shall be defined by the rules and regulations of the Commissioners, by the orders of the Chief of Police and the orders of their respective Captains and Lieutenants.",F,"Yes: 54,296  /  No: 82,452",Yes: 39.7%  /  No: 60.3%,50%+1,Supervisors,November6_1928
November,6,1928,06-Nov-28,43,"Fire Department Employees, Pensions",Charter Amendment,"All persons except clerks and commissary employees, appointed to positions in the department must at the time of their appointment be citizens of the United States, not less than twenty-one nor more than thirty-five years of age, must have been residents of the City and County at least five years next preceding the date of their appointment, and must pass a medical examination.  Certain employees, such as pilots, marine engineers of fireboats, and the Superintendent of the Corporation Yard, shall be subject to the provisions and entitled to the benefits of the Firemen's Relief Fund.",F,"Yes: 52,022  /  No: 81,156",Yes: 39.0%  /  No: 61.0%,50%+1,Supervisors,November6_1928
November,6,1928,06-Nov-28,44,"Special Police Officers, Pensions",Charter Amendment,"All patrol special police officers shall be known as members of San Francisco Police Reserve Unit and be subject to the rules and regulations of the San Francisco Police Department.  Such officers shall be entitled to trial by the Board of Police Commissioners of the City and County of San Francisco for any violations of rules and regulations.  Any officer injured while preventing an act of crime shall receive a monthly sum of $50 from the City and County of San Francisco during the time of such incapacity.  In the event of death, his widow or minor children shall receive a pension of the same amount from the City and County.",F,"Yes: 48,127  /  No: 90,077",Yes: 34.8%  /  No: 65.2%,50%+1,Supervisors,November6_1928
November,6,1928,06-Nov-28,45,"Police Boat Engineers, Pensions",Charter Amendment,"There shall be not less than three engineers of police patrol boat, each of whom shall receive an annual salary of not less than $2400.  Engineers shall, for the purpose of receiving a pension, be considered a part of the police force, and shall be subject to the provisions and entitled to the benefits of Chapter X of Article VIII of the Charter.  Any person under appointment to the position of engineer of police patrol boat shall be entitled to the benefits of this amendment.",F,"Yes: 37,680  /  No: 92,893",Yes: 28.8%  /  No: 71.2%,50%+1,Supervisors,November6_1928
November,6,1928,06-Nov-28,46,"Probation Department, Appointment of Adult and Juvenile Probation Officers",Charter Amendment,"The Superior Court Judges of the City and County of San Francisco shall appoint the Adult Probation Officer.  The Judge of the Superior Court, who has been or may be, designated the Judge of the Juvenile Court, shall appoint the Probation Officer of the Juvenile Court.  Both Adult and Juvenile Probation Officers shall appoint assistants, deputies and employees as may be allowed or provided by the Board of Supervisors, subject to confirmation by the Adult and Juvenile Probation Boards, respectively.",F,"Yes: 48,638  /  No: 79,539",Yes: 37.9%  /  No: 62.1%,50%+1,Supervisors,November6_1928
November,6,1928,06-Nov-28,47,"Police Department, Hostlers, Pensions",Charter Amendment,"There shall be not to exceed eleven hostlers, each of which hostlers shall receive an annual salary of $2160; and said hostlers shall, for the purpose of receiving a pension, be considered a part of the police force and shall be subject to the provisions and entitled to the benefits of Chapter 10 of Article VIII of the Charter.",F,"Yes: 32,544  /  No: 97,555",Yes: 25.0%  /  No: 75.0%,50%+1,Supervisors,November6_1928
November,6,1928,06-Nov-28,48,Police Matrons,Charter Amendment,"The Board of Police Commissioners may appoint three women protective officers and four police matrons for the care of female prisoners, each of whom shall receive an annual salary equal to the salary of a police officer of the City and County of San Francisco, and to provide rules and regulations for the government and assignment of the same.  Women protective officers and police matrons shall be subject to the provisions and entitled to the benefits of Chapter X of Article VIII of the Charter of the City and County of San Francisco.",F,"Yes: 34,837  /  No: 98,042",Yes: 26.2%  /  No: 73.8%,50%+1,Supervisors,November6_1928
November,6,1928,06-Nov-28,49,Salaries of Police Judges,Charter Amendment,"From and after July 1, 1929, the Board of Supervisors shall annually fix the salaries of the Judges of the Police Court; provided, however, that in no one year shall the salary of any of said Judges exceed the sum of $6,000.",F,"Yes: 33,962  /  No: 101,479",Yes: 25.0%  /  No: 75.0%,50%+1,Supervisors,November6_1928
November,6,1928,06-Nov-28,50,Not Included in Voter Handbook,NA,Not Included in Voter Handbook,Not Available in Public Library's official records,,,,NA,November6_1928
November,6,1928,06-Nov-28,51,Parking Stations Under Parks,Charter Amendment,"The Board of Park Commissioners may construct and operate a public automobile parking station under any public park, provided that the said construction and operation will not be detrimental to the original purpose for which said park was dedicated.  The cost of the construction of any such parking station may be met and defrayed in the same manner as any other public improvement as provided by the Charter of the City and County.",F,"Yes: 52,304  /  No: 82,624",Yes: 38.7%  /  No: 61.3%,50%+1,Supervisors,November6_1928
November,6,1928,06-Nov-28,52,Mayor's Contingent Fund,Charter Amendment,"The Supervisors must appropriate annually to the Mayor $15,000 as and for a contingent fund for which he need furnish no vouchers.",F,"Yes: 38,786  /  No: 90,471",Yes: 30.0%  /  No: 70.0%,50%+1,Supervisors,November6_1928
November,6,1928,06-Nov-28,53,Creating a Woman Police Judge,Charter Amendment,"There is hereby created an additional judge of the Police Court of the City and County of San Francisco, who shall have all the powers and be vested with all the authority provided by Section 1 of Chapter VIII of Article V of the Charter.  She shall be subject to all the provisions of the Charter relative to police judges and police courts, perform duties similar to those now performed by the judges of said court, and receive the same compensation as is now provided by law for police judges.",F,"Yes: 25,267  /  No: 104,203",Yes: 19.5%  /  No: 80.5%,50%+1,Supervisors,November6_1928
November,6,1928,06-Nov-28,54,Salary of City Attorney,Charter Amendment,"The annual salary of the City Attorney shall be $12,000 from and after January 1, 1930, and any provision of this Charter in conflict herewith is hereby repealed to the extent of such conflict.",F,"Yes: 38,572  /  No: 89,046",Yes: 30.2%  /  No: 69.8%,50%+1,Supervisors,November6_1928
November,6,1928,06-Nov-28,55,"Sewer Bonds, $2,200,000",Bond Issue,"To incur a bonded debt of $2,200,000 for the construction and extension of the Sewer System in the City and County of San Francisco.",P,"Yes: 88,448  /  No: 41,782",Yes: 67.9%  /  No: 32.1%,66 2/3%,Supervisors,November6_1928
